

OSG efficiency summary by Site & VO for  2017-04-23 - 2017-04-30 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-23 and 2017-04-30 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------------------------------
  #   | Site                   | VO              |     Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall | Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------------------------------
  136 | GLOW-CMS               | cms             |         1 |       825 |    -2,442 |      29.0 |        -32 |      0.10 | -0.05 |    10 |    -5
  137 | GLOW-CMS               | cms             |         8 |       931 |    -1,161 |  43,180.8 |    -35,690 |      4.69 | -0.38 |    59 |    -4
  138 | GLOW-CONDOR-CE         | cms             |         1 |       823 |    -2,522 |      28.7 |        -30 |      0.11 | -0.04 |    11 |    -4
  139 | GLOW-CONDOR-CE         | cms             |         8 |       519 |      -942 |  20,849.8 |    -31,205 |      4.86 | -0.46 |    61 |    -6
  140 | GLOW-OSG               | atlas           |         1 |     2,623 |    -3,817 |   8,719.9 |    -59,973 |      0.81 |  0.22 |    81 |    22
  141 | GLOW-OSG               | fermilab        |         1 |     1,994 |   -10,159 |   8,394.5 |    -14,555 |      0.76 |  0.16 |    76 |    16
  142 | GLOW-OSG               | fermilab        |         8 |       138 |       -38 |     310.1 |         38 |      0.35 | -2.35 |     4 |   -30
  143 | GLOW-OSG               | hcc             |         1 |     2,235 |    -1,225 |  42,583.2 |    -22,212 |      0.53 |  0.06 |    53 |     6
  144 | GLOW-OSG               | osg             |         1 |     1,254 |    -4,320 |  24,870.3 |    -60,134 |      0.41 | -0.12 |    41 |   -12
  145 | GLOW-OSG               | osg             |         8 |         3 |      -185 |     231.3 |     -4,124 |      0.56 | -2.88 |     7 |   -36
  146 | GridUNESP_CENTRAL      | glow            |         1 |       729 |       -38 |     905.6 |       -774 |      0.27 | -0.20 |    27 |   -20
  147 | GridUNESP_CENTRAL      | gridunesp       |         1 |     3,554 |       667 |  20,258.0 |    -25,885 |      0.82 |  0.54 |    82 |    54
  148 | GridUNESP_CENTRAL      | gridunesp       |         2 |         8 |       -21 |      32.2 |       -608 |      1.40 |  0.64 |    70 |    32
  149 | GridUNESP_CENTRAL      | gridunesp       |         4 |         0 |       -49 |         0 |       -308 |      0.00 | -3.12 |     0 |   -78
  150 | GridUNESP_CENTRAL      | gridunesp       |         8 |       181 |      -830 |   1,824.6 |     -2,899 |      2.17 | -0.44 |    27 |    -6
  151 | GridUNESP_CENTRAL      | gridunesp       |         9 |         0 |        -1 |         0 |          0 |      0.00 | -0.09 |     0 |    -1
  152 | GridUNESP_CENTRAL      | gridunesp       |        10 |         0 |        -6 |         0 |          0 |      0.00 | -7.99 |     0 |   -80
  153 | GridUNESP_CENTRAL      | gridunesp       |        12 |         1 |         1 |         0 |          0 |      5.11 |  5.11 |    43 |    43
  154 | GridUNESP_CENTRAL      | gridunesp       |        16 |        45 |       -22 |   2,260.6 |        368 |     15.14 |  0.02 |    95 |     0
  155 | GridUNESP_CENTRAL      | gridunesp       |        18 |         0 |        -1 |         0 |          0 |      0.00 | -13.63 |     0 |   -76
  156 | GridUNESP_CENTRAL      | gridunesp       |        24 |         5 |       -23 |       1.6 |       -266 |     22.41 |  2.75 |    93 |    11
  157 | GridUNESP_CENTRAL      | gridunesp       |        32 |         6 |        -9 |     212.9 |       -244 |     30.58 | 14.51 |    96 |    46
  158 | GridUNESP_CENTRAL      | gridunesp       |        64 |         1 |         0 |     167.8 |         98 |     53.93 | 53.93 |    84 |    84
  159 | GridUNESP_CENTRAL      | gridunesp       |       100 |        14 |       -19 |     209.0 |       -219 |     89.45 |  0.23 |    89 |     0
  160 | GridUNESP_CENTRAL      | hcc             |         1 |     4,721 |     2,242 |   1,801.2 |      1,015 |      0.03 |  0.00 |     3 |     0
  161 | GridUNESP_CENTRAL      | osg             |         1 |     2,019 |     1,102 |   4,963.0 |      2,053 |      0.03 | -0.01 |     3 |    -1
  162 | GridUNESP_CENTRAL      | sbgrid          |         1 |         0 |      -471 |         0 |       -576 |      0.00 | -0.35 |     0 |   -35
  163 | HCC Submitter login.crane.hcc.unl.edu | hcc             |         1 |     9,088 |   -24,062 | 135,431.5 |   -317,350 |      0.34 | -0.10 |    34 |   -10
  164 | HOSTED_OSU_CE          | osg             |         1 |         0 |       -65 |         0 |        -48 |      0.00 |  0.00 |     0 |     0
  165 | HOSTED_STANFORD        | fermilab        |         8 |        27 |       -63 |     337.8 |       -475 |      0.00 |  0.00 |     0 |     0
  166 | HOSTED_STANFORD        | glow            |         8 |       121 |      -320 |     387.1 |     -3,815 |      0.00 |  0.00 |     0 |     0
  167 | HOSTED_STANFORD        | icecube         |         8 |        67 |       -43 |     513.0 |       -862 |      0.00 |  0.00 |     0 |     0
  168 | HOSTED_STANFORD        | osg             |         8 |         0 |      -121 |         0 |     -2,349 |      0.00 |  0.00 |     0 |     0
  169 | HOSTED_STANFORD        | sbgrid          |         8 |         0 |       -46 |         0 |       -537 |      0.00 |  0.00 |     0 |     0
  170 | Hyak_CE                | atlas           |         1 |     1,252 |    -1,584 |     544.2 |       -857 |      0.19 |  0.00 |    19 |     0
  171 | Hyak_CE                | fermilab        |         1 |     2,289 |   -13,490 |     848.2 |     -4,901 |      0.01 |  0.00 |     1 |     0
  172 | Hyak_CE                | osg             |         1 |     7,003 |    -9,114 |  20,454.3 |    -29,829 |      1.40 | -0.21 |   140 |   -21
  173 | IIT_SUBMIT             | osg             |         1 |         0 |       -15 |         0 |         -1 |      0.00 | -0.85 |     0 |   -85
  174 | IU-CSIU                | osg             |         1 |    72,618 |  -182,271 | 141,541.8 |   -377,048 |      0.87 |  0.05 |    87 |     5
