#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
login01.hep.wisc.edu:519657.117,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n21.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.119,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e426.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.124,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e445.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.128,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e400.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.129,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n26.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.133,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e064.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.138,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e058.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.142,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n21.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.144,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e426.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.147,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n21.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.150,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e310.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.154,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n16.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.155,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e320.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.156,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e380.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.157,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e310.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.158,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e262.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.160,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e024.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.161,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e389.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.162,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n26.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.163,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e317.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.166,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e380.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.170,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e139.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.175,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e224.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.177,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e454.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.178,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n26.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.181,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e415.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.182,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n33.hep.wisc.edu (primary),GLOW,GLOW,Success
