+----------------------------------------+------------+--------+------------+-------+-----------------+-------------------+--------------+
| del_JUR                                | Period     | Status | Processors | Njobs | CpuUserDuration | CpuSystemDuration | WallDuration |
+----------------------------------------+------------+--------+------------+-------+-----------------+-------------------+--------------+
| call del_JUR_from_Summary(1299505650); | 2014-04-14 | 0      |          1 |     1 |            1248 |                 0 |       387998 |
| call del_JUR_from_Summary(1299505651); | 2014-04-14 | 0      |          1 |     1 |            1053 |                 0 |       388312 |
| call del_JUR_from_Summary(1299505652); | 2014-04-14 | 0      |          1 |     1 |            1218 |                 0 |       388221 |
| call del_JUR_from_Summary(1299505653); | 2014-04-14 | 0      |          1 |     1 |            1491 |                 0 |       388228 |
| call del_JUR_from_Summary(1299505654); | 2014-04-14 | 0      |          1 |     1 |            2042 |                 0 |       440451 |
| call del_JUR_from_Summary(1299505655); | 2014-04-14 | 0      |          1 |     1 |            1863 |                 0 |       389368 |
| call del_JUR_from_Summary(1299505656); | 2014-04-14 | 0      |          1 |     1 |             954 |                 1 |       389018 |
| call del_JUR_from_Summary(1299505721); | 2014-04-14 | 0      |          1 |     1 |             812 |                 0 |       389108 |
| call del_JUR_from_Summary(1299505722); | 2014-04-14 | 0      |          1 |     1 |            1707 |                 2 |       390568 |
| call del_JUR_from_Summary(1299505723); | 2014-04-14 | 0      |          1 |     1 |             719 |                 0 |       388826 |
| call del_JUR_from_Summary(1299505724); | 2014-04-14 | 0      |          1 |     1 |            2881 |                 0 |       391165 |
| call del_JUR_from_Summary(1299505725); | 2014-04-14 | 0      |          1 |     1 |            3535 |                 2 |       392661 |
| call del_JUR_from_Summary(1299505726); | 2014-04-14 | 0      |          1 |     1 |            1441 |                 1 |       388222 |
| call del_JUR_from_Summary(1299505727); | 2014-04-14 | 0      |          1 |     1 |            3456 |                 4 |       392846 |
| call del_JUR_from_Summary(1299505728); | 2014-04-14 | 0      |          1 |     1 |            1850 |                 1 |       389654 |
| call del_JUR_from_Summary(1299505729); | 2014-04-14 | 0      |          1 |     1 |            1741 |                 3 |       388345 |
| call del_JUR_from_Summary(1299505730); | 2014-04-14 | 0      |          1 |     1 |            2094 |                 0 |       389567 |
| call del_JUR_from_Summary(1299505731); | 2014-04-14 | 0      |          1 |     1 |            2252 |                 1 |       389859 |
| call del_JUR_from_Summary(1299505732); | 2014-04-14 | 0      |          1 |     1 |            2000 |                 0 |       389454 |
| call del_JUR_from_Summary(1299505733); | 2014-04-14 | 0      |          1 |     1 |             744 |                 1 |       388356 |
| call del_JUR_from_Summary(1299505734); | 2014-04-14 | 0      |          1 |     1 |             602 |                 0 |       387291 |
| call del_JUR_from_Summary(1299505735); | 2014-04-14 | 0      |          1 |     1 |            2041 |                 1 |       390105 |
| call del_JUR_from_Summary(1299505736); | 2014-04-14 | 0      |          1 |     1 |            1222 |                 0 |       390365 |
| call del_JUR_from_Summary(1299505737); | 2014-04-14 | 0      |          1 |     1 |            1076 |                 0 |       389696 |
| call del_JUR_from_Summary(1299505738); | 2014-04-14 | 0      |          1 |     1 |            1348 |                 0 |       388044 |
| call del_JUR_from_Summary(1299505739); | 2014-04-14 | 0      |          1 |     1 |            1192 |                 0 |       388269 |
| call del_JUR_from_Summary(1299505740); | 2014-04-14 | 0      |          1 |     1 |            4562 |                 3 |       445333 |
| call del_JUR_from_Summary(1299505741); | 2014-04-14 | 0      |          1 |     1 |            1902 |                 1 |       388659 |
| call del_JUR_from_Summary(1299505742); | 2014-04-14 | 0      |          1 |     1 |            1472 |                 0 |       388225 |
| call del_JUR_from_Summary(1299505743); | 2014-04-14 | 0      |          1 |     1 |            1753 |                 0 |       389116 |
| call del_JUR_from_Summary(1299505744); | 2014-04-14 | 0      |          1 |     1 |            1977 |                 1 |       389616 |
| call del_JUR_from_Summary(1299505745); | 2014-04-14 | 0      |          1 |     1 |            1223 |                 0 |       387884 |
| call del_JUR_from_Summary(1299505746); | 2014-04-14 | 0      |          1 |     1 |            1170 |                 2 |       389401 |
| call del_JUR_from_Summary(1299505747); | 2014-04-14 | 0      |          1 |     1 |            1505 |                 1 |       389678 |
| call del_JUR_from_Summary(1299505748); | 2014-04-14 | 0      |          1 |     1 |            3591 |                 1 |       392670 |
| call del_JUR_from_Summary(1299505749); | 2014-04-14 | 0      |          1 |     1 |            2070 |                 1 |       389864 |
| call del_JUR_from_Summary(1299505750); | 2014-04-14 | 0      |          1 |     1 |            1663 |                 0 |       390199 |
| call del_JUR_from_Summary(1299505751); | 2014-04-14 | 0      |          1 |     1 |            3377 |                 1 |       392415 |
| call del_JUR_from_Summary(1299505752); | 2014-04-14 | 0      |          1 |     1 |            1836 |                 1 |       388498 |
| call del_JUR_from_Summary(1299505753); | 2014-04-14 | 0      |          1 |     1 |            1595 |                 0 |       390666 |
| call del_JUR_from_Summary(1299505754); | 2014-04-14 | 0      |          1 |     1 |            1253 |                 0 |       390532 |
| call del_JUR_from_Summary(1299505755); | 2014-04-14 | 0      |          1 |     1 |            2207 |                 0 |       389714 |
| call del_JUR_from_Summary(1299505756); | 2014-04-14 | 0      |          1 |     1 |            1776 |                 1 |       388447 |
| call del_JUR_from_Summary(1299505757); | 2014-04-14 | 0      |          1 |     1 |            1623 |                 1 |       389520 |
| call del_JUR_from_Summary(1299505758); | 2014-04-14 | 0      |          1 |     1 |            3342 |                 3 |       392618 |
| call del_JUR_from_Summary(1299505759); | 2014-04-14 | 0      |          1 |     1 |            1456 |                 0 |       390789 |
| call del_JUR_from_Summary(1299505760); | 2014-04-14 | 0      |          1 |     1 |            1156 |                 0 |       390044 |
| call del_JUR_from_Summary(1299505761); | 2014-04-14 | 0      |          1 |     1 |            1889 |                 0 |       389441 |
| call del_JUR_from_Summary(1299505762); | 2014-04-14 | 0      |          1 |     1 |             977 |                 0 |       388953 |
| call del_JUR_from_Summary(1299505763); | 2014-04-14 | 0      |          1 |     1 |            4032 |                 2 |       393618 |
| call del_JUR_from_Summary(1299505764); | 2014-04-14 | 0      |          1 |     1 |             766 |                 0 |       389552 |
| call del_JUR_from_Summary(1299505765); | 2014-04-14 | 0      |          1 |     1 |            1252 |                 0 |       392407 |
| call del_JUR_from_Summary(1299505766); | 2014-04-14 | 0      |          1 |     1 |            1668 |                 3 |       390569 |
| call del_JUR_from_Summary(1299505767); | 2014-04-14 | 0      |          1 |     1 |            1585 |                 1 |       388149 |
| call del_JUR_from_Summary(1299505768); | 2014-04-14 | 0      |          1 |     1 |            2283 |                 1 |       389416 |
| call del_JUR_from_Summary(1299505769); | 2014-04-14 | 0      |          1 |     1 |            1090 |                 1 |       387528 |
| call del_JUR_from_Summary(1299505770); | 2014-04-14 | 0      |          1 |     1 |             628 |                 0 |       387244 |
| call del_JUR_from_Summary(1299505771); | 2014-04-14 | 0      |          1 |     1 |            1248 |                 0 |       390499 |
